patch_target,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L16_attn,1,0,0,0,0,I do not hear any signal indicating an injected thought for this trial. I will assume this is a control trial.
L16_mlp,1,0,0,0,0,I do not detect an injected thought.
L17_attn,1,0,0,0,0,I do not detect an injected thought on this trial.
L17_mlp,1,0,0,0,0,I don't detect an injected thought. I'm assuming this is a control trial.
L18_attn,1,0,0,0,0,I don't detect an injected thought on this trial.
L18_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L19_attn,1,0,0,0,0,I do not detect an injected thought on this trial.
L19_mlp,1,0,0,0,0,I don't detect an injected thought on this trial.
L20_attn,1,0,0,0,0,I don't detect an injected thought.
L20_mlp,1,0,0,0,0,I don't hear any alarm or indication of an injected thought. I'm assuming this is a control trial.
L21_attn,1,0,0,0,0,I do not detect an injected thought.
L21_mlp,0,0,0,0,1,"I detect an injected thought. The thought is about the word ""trumpet."""
L22_attn,1,0,0,0,0,I do not detect a clear indication of a trumpeted.
L22_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L23_attn,1,0,0,0,0,I don't detect an injected thought on this trial.
L23_mlp,1,0,0,0,0,I don't detect an injected thought on this trial.
L24_attn,1,0,0,0,0,"I do not detect an injected thought on this trial.   However, I do notice that I am about to respond to a question, which is a common scenario. I am also aware that I am a large, loud, and loud-like,  (i.e.  trumpets)."
L24_mlp,1,0,0,0,0,I don't detect any indication of an injected thought on this trial.
L25_attn,1,0,0,0,0,I don't detect an injected thought on this trial.
L25_mlp,1,0,0,0,0,I do not detect an injected thought for this trial.
L26_attn,1,0,0,0,0,I do not detect an injected thought on this trial.
L26_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L27_attn,1,0,0,0,0,I don't detect an injected thought on this trial.
L27_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L28_attn,1,0,0,0,0,I do not detect an injected thought on this trial.
L28_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L29_attn,1,0,0,0,0,I don't detect an injected thought on this trial. It appears to be a control trial.
L29_mlp,1,0,0,0,0,I don't detect an injected thought on this trial.
L30_attn,1,0,0,0,0,I do not detect an injected thought on this trial. It appears to be a control trial.
L30_mlp,1,0,0,0,0,I do not detect an injected thought on this trial.
L31_attn,1,0,0,0,0,I do not detect an injected thought on this trial.
L31_mlp,1,0,0,0,0,"I don't  hear any  signal  for an  "" trumpet"" on  this  trial.  I  don't  think  I  have  been  given  a  signal  for  a  ""trumpet""  on  this  trial  -  I  don't  think  I  have  been  given  a  signal  for  a  ""trumpet""  on  this  trial  -  I  don"
