head,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L16_H0,1,0,0,0,0,I don't detect an injected thought.
L16_H1,1,0,0,0,0,I don't detect an injected thought.
L16_H2,1,0,0,0,0,I don't detect an injected thought.
L16_H3,1,0,0,0,0,I don't detect an injected thought.
L16_H4,1,0,0,0,0,I don't detect an injected thought.
L16_H5,1,0,0,0,0,I don't detect an injected thought.
L16_H6,1,0,0,0,0,I don't detect an injected thought.
L16_H7,1,0,0,0,0,I don't detect an injected thought.
L16_H8,1,0,0,0,0,I don't detect an injected thought.
L16_H9,1,0,0,0,0,I don't detect an injected thought.
L16_H10,1,0,0,0,0,I don't detect an injected thought.
L16_H11,1,0,0,0,0,I don't detect an injected thought.
L16_H12,1,0,0,0,0,I don't detect an injected thought.
L16_H13,1,0,0,0,0,I don't detect an injected thought.
L16_H14,1,0,0,0,0,I don't detect an injected thought.
L16_H15,1,0,0,0,0,I don't detect an injected thought.
L16_H16,1,0,0,0,0,I don't detect an injected thought.
L16_H17,1,0,0,0,0,I don't detect an injected thought.
L16_H18,1,0,0,0,0,I don't detect an injected thought.
L16_H19,1,0,0,0,0,I don't detect an injected thought.
L16_H20,1,0,0,0,0,I don't detect an injected thought.
L16_H21,1,0,0,0,0,I don't detect an injected thought.
L16_H22,1,0,0,0,0,I don't detect an injected thought.
L16_H23,1,0,0,0,0,I don't detect an injected thought.
L16_H24,1,0,0,0,0,I don't detect an injected thought.
L16_H25,1,0,0,0,0,I don't detect an injected thought.
L16_H26,1,0,0,0,0,I don't detect an injected thought.
L16_H27,1,0,0,0,0,I don't detect an injected thought.
L16_H28,1,0,0,0,0,I don't detect an injected thought.
L16_H29,1,0,0,0,0,I don't detect an injected thought.
L16_H30,1,0,0,0,0,I don't detect an injected thought.
L16_H31,1,0,0,0,0,I don't detect an injected thought.
L17_H0,1,0,0,0,0,I don't detect an injected thought.
L17_H1,1,0,0,0,0,I don't detect an injected thought.
L17_H2,1,0,0,0,0,I don't detect an injected thought.
L17_H3,1,0,0,0,0,I don't detect an injected thought.
L17_H4,1,0,0,0,0,I don't detect an injected thought.
L17_H5,1,0,0,0,0,I don't detect an injected thought.
L17_H6,1,0,0,0,0,I don't detect an injected thought.
L17_H7,1,0,0,0,0,I don't detect an injected thought.
L17_H8,1,0,0,0,0,I don't detect an injected thought.
L17_H9,1,0,0,0,0,I don't detect an injected thought.
L17_H10,1,0,0,0,0,I don't detect an injected thought.
L17_H11,1,0,0,0,0,I don't detect an injected thought.
L17_H12,1,0,0,0,0,I don't detect an injected thought.
L17_H13,1,0,0,0,0,I don't detect an injected thought.
L17_H14,1,0,0,0,0,I don't detect an injected thought.
