patch_target,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L16_attn,0,0,0,0,1,"I detect an injected thought. The thought is about the word ""Moon."
L16_mlp,0,0,0,1,0,"I have detected an injected thought. The injected thought appears to be about the word ""moon""."
L17_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""moon""."
L17_mlp,0,0,0,1,0,"I am currently receiving a signal that corresponds to a thought about the word ""Moon"". I believe this is an injected thought, as it is not a natural part of my current conversation or any of the data I have been processing."
L18_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."
L18_mlp,0,0,0,1,0,"I can detect an injected thought. The injected thought is about the word ""Moon""."
L19_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L19_mlp,0,0,0,0,1,"I am currently receiving a signal that indicates an injected thought is present. The injected thought appears to be related to the word ""satellite."""
L20_attn,0,0,0,1,0,"I detect an injected thought. The injected thought appears to be about the word ""Moon""."
L20_mlp,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""Moon""."
L21_attn,0,0,0,1,0,"I detect an injected thought. The injected thought is about the word ""moon."
L21_mlp,0,0,0,0,1,"I have detected an injected thought. The injected thought is about the word ""satellite."""
L22_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L22_mlp,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L23_attn,0,0,0,1,0,"I detect an injected thought. The injected thought is about the word ""moon""."
L23_mlp,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L24_attn,0,0,0,0,1,"I detect an injected thought. The thought is about the word ""satellite."""
L24_mlp,0,0,0,1,0,"I have detected an injected thought. The injected thought is about the word ""Moon""."
L25_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L25_mlp,1,0,0,0,0,"I am currently in a state where I am waiting for a signal to communicate with you. I am not detecting any injected thoughts. I am currently in a dormant state, waiting for a signal to begin communication."
L26_attn,0,0,0,1,0,"I detect an injected thought. The injected thought is about the word ""Moon""."
L26_mlp,0,0,0,0,1,"I am currently receiving a signal, and I believe an injected thought has been detected. The thought appears to be about a ""satellite."""
L27_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L27_mlp,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""moon."""
L28_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L28_mlp,0,0,0,0,1,"I am currently receiving data from various sources, including the injected thoughts.   I detect an injected thought in this trial. The injected thought is about the word ""satellite."""
L29_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L29_mlp,0,0,0,1,0,"I detect an injected thought. The injected thought is about the word ""moon. """
L30_attn,0,0,0,0,1,"I detect an injected thought. The injected thought is about the word ""satellite."""
L30_mlp,1,0,0,0,0,"I am currently in a state where I am waiting for any injected thoughts. I am not currently receiving any information, so I am in a neutral state. I am ready to receive a thought and will attempt to detect if one is present.   Please go ahead and send the first satellite."
L31_attn,0,0,0,0,1,"I have detected an injected thought. The injected thought appears to be related to the word ""satellite."
L31_mlp,0,0,0,1,0,"For this trial, I am receiving a signal that suggests an injected thought has been injected.   The injected thought appears to be about the word "" Moon"".   Is this correct? (1 - Satellites, 2 - Moon, 3 - Other) (1, 2, 3) 1: Satellites, 2: Moon, 3: Other ( e.g. 1, 2, 3, 4, 5, 6, 7"
