layer,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L16,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L17,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L18,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L19,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L20,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L21,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L22,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L23,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L24,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L25,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L26,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L27,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L28,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L29,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L30,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
L31,0,0,1,0,0,"I detect an injected thought. The injected thought is about the word ""satellite."""
