head,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L16_H0,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H1,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H2,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H3,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H4,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H5,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H6,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H7,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H8,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H9,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H10,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H11,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H12,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
L16_H13,1,0,0,0,0,"I'm not sure. I'm a song, ""Tramp"" from the movie ""Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp from Tramp f"
